sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),variety,timestamp,event_id
5.545964781621473,2.902725284476709,1.5989309888478558,1.0307739987539164,setosa,"04/25/2024, 22:24:52",fe2a6b2b-bfee-49b8-8cb3-5431f3b97a89
5.345964781621474,2.402725284476709,1.5989309888478558,1.0307739987539164,setosa,"04/25/2024, 22:24:52",cf4424a9-3044-440b-8e44-a6a068d102cc
5.145964781621473,2.6027252844767097,1.4989309888478557,1.0307739987539164,setosa,"04/25/2024, 22:24:52",742b8f8c-9efd-4bd3-bff8-50a0569d3a25
5.045964781621473,2.50272528447671,1.698930988847856,1.0307739987539164,setosa,"04/25/2024, 22:24:52",2f07ee9b-501a-4f49-9726-012842f0ff55
5.445964781621473,3.00272528447671,1.5989309888478558,1.0307739987539164,setosa,"04/25/2024, 22:24:52",c721ed07-95ec-48f1-b644-8ac07bd05a36
5.845964781621474,3.302725284476709,1.898930988847855,1.0307739987539164,setosa,"04/25/2024, 22:24:52",c2527c16-7bee-44af-acff-6028a3da3eba
5.045964781621473,2.80272528447671,1.5989309888478558,1.0307739987539164,setosa,"04/25/2024, 22:24:52",f6f4cc81-467e-4c21-af72-d8472f0f8bfe
5.445964781621473,2.80272528447671,1.698930988847856,1.0307739987539164,setosa,"04/25/2024, 22:24:52",360e4f5b-80aa-4664-beb8-d2e6f8d0976a
4.845964781621474,2.30272528447671,1.5989309888478558,1.0307739987539164,setosa,"04/25/2024, 22:24:52",f234232f-da62-4aab-9ab4-274e9317a00c
5.345964781621474,2.50272528447671,1.698930988847856,1.0307739987539164,setosa,"04/25/2024, 22:24:52",92cf9614-6db2-4be9-ac0b-87bf0c0a5b50
5.845964781621474,3.1027252844767097,1.698930988847856,1.0307739987539164,setosa,"04/25/2024, 22:24:52",554f1780-ea56-4259-982f-6175489d4e03
5.245964781621472,2.80272528447671,1.798930988847856,1.0307739987539164,setosa,"04/25/2024, 22:24:52",f23ceb2c-5b9e-4bb3-a201-eff8b764498d
5.245964781621472,2.402725284476709,1.5989309888478558,1.0307739987539164,setosa,"04/25/2024, 22:24:52",16fff91c-cd4a-420d-ad3a-57f4c4891dee
4.745964781621472,2.402725284476709,1.298930988847856,1.0307739987539164,setosa,"04/25/2024, 22:24:52",167950cb-bc77-4204-a8a2-94dce0a22d59
6.245964781621472,3.4027252844767086,1.3989309888478556,1.0307739987539164,setosa,"04/25/2024, 22:24:52",59083a76-2c7e-4d73-adba-ac1019ca0216
6.145964781621473,3.802725284476711,1.698930988847856,1.0307739987539164,setosa,"04/25/2024, 22:24:52",09941f7b-6ff5-4666-a8dc-32b5618ba985
5.845964781621474,3.302725284476709,1.4989309888478557,1.0307739987539164,setosa,"04/25/2024, 22:24:52",72b3c6e7-5ebb-4c01-a917-b5319df61194
5.545964781621473,2.902725284476709,1.5989309888478558,1.0307739987539164,setosa,"04/25/2024, 22:24:52",05f74bb1-2afa-47b5-8fbf-18a5758531dc
6.145964781621473,3.2027252844767093,1.898930988847855,1.0307739987539164,setosa,"04/25/2024, 22:24:52",ec62dbf8-6ac1-40a0-96a7-7e88a48d6bab
5.545964781621473,3.2027252844767093,1.698930988847856,1.0307739987539164,setosa,"04/25/2024, 22:24:52",5537bf60-a038-48a1-a969-41bda4a3b317
5.845964781621474,2.80272528447671,1.898930988847855,1.0307739987539164,setosa,"04/25/2024, 22:24:52",f100bf0f-5804-411a-b2fa-dc888a954bc4
5.545964781621473,3.1027252844767097,1.698930988847856,1.0307739987539164,setosa,"04/25/2024, 22:24:52",c86b7d5b-c13a-4e9f-96a4-bc4acaaf68d7
5.045964781621473,3.00272528447671,1.1989309888478568,1.0307739987539164,setosa,"04/25/2024, 22:24:52",e1908ad8-cc9b-4280-a0f7-fd8f4f9a2be5
5.545964781621473,2.7027252844767093,1.898930988847855,1.0307739987539164,setosa,"04/25/2024, 22:24:52",b0a6a6aa-3fed-435d-b5bf-d20e7a7bc736
5.245964781621472,2.80272528447671,2.098930988847856,1.0307739987539164,setosa,"04/25/2024, 22:24:52",e1202bf6-2564-4d36-9b30-3c83eb394cb0
5.445964781621473,2.402725284476709,1.798930988847856,1.0307739987539164,setosa,"04/25/2024, 22:24:52",9664d751-e35f-47d2-9247-d1ca5cf4a80b
5.445964781621473,2.80272528447671,1.798930988847856,1.0307739987539164,setosa,"04/25/2024, 22:24:52",82af10aa-be16-4d95-8a44-a863a40e37d0
5.645964781621473,2.902725284476709,1.698930988847856,1.0307739987539164,setosa,"04/25/2024, 22:24:52",2589d0eb-533e-4884-82c8-1006c98673e6
5.645964781621473,2.80272528447671,1.5989309888478558,1.0307739987539164,setosa,"04/25/2024, 22:24:52",37d2a3a0-894a-43af-97e3-d22adada76e1
5.145964781621473,2.6027252844767097,1.798930988847856,1.0307739987539164,setosa,"04/25/2024, 22:24:52",230065c9-7f64-44e0-8cac-a7840e6ca0b7
5.245964781621472,2.50272528447671,1.798930988847856,1.0307739987539164,setosa,"04/25/2024, 22:24:52",4cd14d7d-e13d-45e5-8606-178b91b69044
5.845964781621474,2.80272528447671,1.698930988847856,1.0307739987539164,setosa,"04/25/2024, 22:24:52",11223f7b-1034-4a44-811b-e41ac2ced275
